date,security,PE_RATIO,BEST_PE_RATIO
2015-09-04,S5TELS Index,13.3017,12.6816
2015-09-04,S5ENRS Index,16.4476,24.758
2015-09-04,S5INDU Index,15.3073,15.0923
2015-09-04,S5FINL Index,13.2578,13.2593
2015-09-07,S5TELS Index,13.3017,12.6816
2015-09-07,S5INFT Index,16.9291,15.8908
2015-09-07,S5COND Index,20.4908,19.4647
2015-09-07,S5MATR Index,14.8043,15.6062
2015-09-07,S5INDU Index,15.3073,15.0925
2015-09-07,S5HLTH Index,20.7917,16.9866
2015-09-07,S5ENRS Index,16.4476,24.758
2015-09-07,S5FINL Index,13.2578,13.2593
2015-09-07,S5UTIL Index,15.2006,14.9575
2015-09-07,S5CONS Index,18.3893,19.0611
2015-09-08,S5TELS Index,13.5778,12.9449
2015-09-08,S5ENRS Index,16.6903,25.4541
2015-09-08,S5MATR Index,15.1798,16.0072
2015-09-08,S5UTIL Index,15.5119,15.2591
2015-09-08,S5HLTH Index,21.3873,17.4733
2015-09-08,S5COND Index,20.967,19.9103
2015-09-08,S5CONS Index,18.7799,19.4707
2015-09-08,S5INDU Index,15.7347,15.5151
2015-09-08,S5FINL Index,13.6,13.6125
2015-09-08,S5INFT Index,17.4083,16.3301
2015-09-09,S5FINL Index,13.4139,13.4255
2015-09-09,S5CONS Index,18.4524,19.1358
2015-09-09,S5MATR Index,15.061,15.8788
2015-09-09,S5INDU Index,15.5649,15.3498
2015-09-09,S5INFT Index,17.1756,16.1143
2015-09-09,S5COND Index,20.7329,19.6943
2015-09-09,S5UTIL Index,15.3154,15.0657
2015-09-09,S5ENRS Index,16.3664,25.2254
2015-09-09,S5HLTH Index,21.0304,17.183
2015-09-09,S5TELS Index,13.4398,12.8133
2015-09-10,S5INDU Index,15.5783,15.3639
2015-09-10,S5MATR Index,15.0925,15.9216
2015-09-10,S5ENRS Index,16.455,25.3621
2015-09-10,S5HLTH Index,21.2233,17.3387
2015-09-10,S5COND Index,20.7893,19.7465
2015-09-10,S5TELS Index,13.4425,12.8159
2015-09-10,S5FINL Index,13.4753,13.4875
2015-09-10,S5INFT Index,17.3537,16.28
2015-09-10,S5UTIL Index,15.2859,15.0371
2015-09-10,S5CONS Index,18.4937,19.1786
2015-09-11,S5UTIL Index,15.4081,15.1591
2015-09-11,S5COND Index,20.943,19.9034
2015-09-11,S5MATR Index,15.0689,15.8927
2015-09-11,S5FINL Index,13.5233,13.5335
2015-09-11,S5TELS Index,13.4527,12.8256
2015-09-11,S5INDU Index,15.6597,15.4445
2015-09-11,S5INFT Index,17.4595,16.3765
2015-09-11,S5CONS Index,18.5792,19.256
2015-09-11,S5ENRS Index,16.3331,25.5427
2015-09-11,S5HLTH Index,21.3697,17.4559
2015-09-14,S5ENRS Index,16.2016,25.3612
2015-09-14,S5INFT Index,17.4109,16.3297
2015-09-14,S5FINL Index,13.4836,13.4954
2015-09-14,S5HLTH Index,21.2933,17.3926
2015-09-14,S5MATR Index,14.8764,15.7094
2015-09-14,S5COND Index,20.8247,19.795
2015-09-14,S5TELS Index,13.3999,12.8311
2015-09-14,S5UTIL Index,15.4479,15.1977
2015-09-14,S5INDU Index,15.5858,15.3738
2015-09-14,S5CONS Index,18.5146,19.2206
2015-09-15,S5MATR Index,15.0008,15.8517
2015-09-15,S5TELS Index,13.5704,12.9943
2015-09-15,S5HLTH Index,21.5841,17.6305
2015-09-15,S5COND Index,21.0496,20.0118
2015-09-15,S5ENRS Index,16.3785,25.6403
2015-09-15,S5INDU Index,15.8473,15.6322
2015-09-15,S5UTIL Index,15.5244,15.2723
2015-09-15,S5CONS Index,18.7424,19.4582
2015-09-15,S5FINL Index,13.6824,13.692
2015-09-15,S5INFT Index,17.6315,16.5357
2015-09-16,S5ENRS Index,16.832,26.3476
2015-09-16,S5CONS Index,18.9546,19.6818
2015-09-16,S5FINL Index,13.7696,13.8116
2015-09-16,S5HLTH Index,21.6589,17.6944
